application_for,open_date_year,response_rate_met,ballots_cast,ballots_distributed,poll_result,open_date,ballot_return_rate,ballot_in_favour_rate
Front Yard Parking,2015,Yes,18,34,In Favour,2015-05-01,0.5294,0.9412
Front Yard Parking,2015,Yes,30,36,In Favour,2015-05-04,0.8333,1
Front Yard Parking,2015,Yes,43,97,In Favour,2015-05-12,0.4433,0.925
Traffic Calming,2015,No,137,334,Response Rate Not Met,2015-05-06,0.4102,0.7652
Boulevard Cafe,2015,Yes,30,106,In Favour,2015-05-06,0.283,0.6552
Traffic Calming,2015,No,63,235,Response Rate Not Met,2015-05-13,0.2681,0.6774
Commercial Boulevard Parking,2015,No,26,235,Response Rate Not Met,2015-05-11,0.1106,0.5417
Appeal - Front Yard Parking,2015,Yes,35,109,In Favour,2015-05-28,0.3211,0.9667
Traffic Calming,2015,No,101,340,Response Rate Not Met,2015-09-14,0.2971,0.6197
Front Yard Parking,2015,Yes,48,80,In Favour,2015-05-25,0.6,0.9362
Front Yard Parking,2015,Yes,36,73,In Favour,2015-05-20,0.4932,1
Traffic Calming,2015,Yes,24,43,In Favour,2015-05-21,0.5581,0.7917
Traffic Calming,2015,Yes,55,78,In Favour,2015-05-25,0.7051,0.8545
Boulevard Cafe,2015,No,3,16,Response Rate Not Met,2015-05-27,0.1875,0
Traffic Calming,2015,Yes,54,90,In Favour,2015-05-26,0.6,0.8113
Traffic Calming,2015,Yes,82,138,In Favour,2015-06-01,0.5942,0.8289
Traffic Calming,2015,Yes,134,271,In Favour,2015-05-28,0.4945,0.75
Traffic Calming,2015,No,87,261,Response Rate Not Met,2015-05-28,0.3333,0.7326
Traffic Calming,2015,Yes,68,138,In Favour,2015-06-01,0.4928,0.7213
Boulevard Cafe,2015,No,1,24,Response Rate Not Met,2015-06-01,0.0417,1
Traffic Calming,2015,No,2,11,Response Rate Not Met,2015-06-01,0.1818,0.5
Boulevard Cafe,2015,No,31,151,Response Rate Not Met,2015-06-08,0.2053,0.6207
Boulevard Cafe,2015,Yes,27,92,In Favour,2015-06-08,0.2935,0.9545
Boulevard Cafe,2015,Yes,30,76,In Favour,2015-06-10,0.3947,0.9583
Boulevard Cafe,2015,Yes,50,146,In Favour,2015-06-08,0.3425,0.9375
Appeal - Front Yard Parking,2015,Yes,25,59,In Favour,2015-06-11,0.4237,1
Appeal - Front Yard Parking,2015,Yes,29,75,Opposed,2015-06-11,0.3867,0.4074
Appeal - Front Yard Parking,2015,Yes,41,87,In Favour,2015-06-15,0.4713,0.9444
Appeal - Front Yard Parking,2015,Yes,41,59,In Favour,2015-06-15,0.6949,0.9737
Appeal - Front Yard Parking,2015,Yes,31,65,In Favour,2015-06-16,0.4769,0.84
Appeal - Front Yard Parking,2015,Yes,56,113,In Favour,2015-06-16,0.4956,0.6596
Boulevard Cafe,2015,No,0,22,Response Rate Not Met,2015-06-16,0,NA
Traffic Calming,2015,No,39,100,Response Rate Not Met,2015-06-10,0.39,0.5
Traffic Calming,2015,Yes,34,54,In Favour,2015-06-17,0.6296,0.7097
Front Yard Parking,2015,Yes,17,29,In Favour,2015-06-24,0.5862,1
Boulevard Cafe,2015,Yes,26,66,Opposed,2015-06-17,0.3939,0.5556
Boulevard Cafe,2015,No,0,18,Response Rate Not Met,2015-06-18,0,NA
Boulevard Cafe,2015,Yes,35,43,In Favour,2015-06-23,0.814,0.9697
Appeal - Front Yard Parking,2015,Yes,33,67,Opposed,2015-06-29,0.4925,0.1481
Appeal - Front Yard Parking,2015,Yes,20,40,In Favour,2015-06-25,0.5,1
Appeal - Front Yard Parking,2015,Yes,47,84,In Favour,2015-06-29,0.5595,0.8684
Appeal - Front Yard Parking,2015,Yes,48,127,In Favour,2015-06-25,0.378,0.7619
Traffic Calming,2015,No,36,86,Response Rate Not Met,2015-07-15,0.4186,0.8571
Appeal - Front Yard Parking,2015,Yes,27,101,In Favour,2015-06-29,0.2673,0.9091
Appeal - Front Yard Parking,2015,Yes,24,56,In Favour,2015-06-30,0.4286,0.9091
Appeal - Front Yard Parking,2015,Yes,26,30,In Favour,2015-07-02,0.8667,0.9231
Appeal - Front Yard Parking,2015,Yes,48,77,In Favour,2015-07-02,0.6234,0.9574
Front Yard Parking,2015,Yes,29,94,In Favour,2015-07-07,0.3085,0.9091
Boulevard Cafe,2015,Yes,28,98,In Favour,2015-07-07,0.2857,0.7692
Boulevard Cafe,2015,Yes,30,65,Opposed,2015-07-08,0.4615,0.0345
Appeal - Front Yard Parking,2015,Yes,42,99,In Favour,2015-07-09,0.4242,0.9211
Appeal - Front Yard Parking,2015,Yes,19,34,In Favour,2015-07-13,0.5588,0.75
Traffic Calming,2015,No,6,56,Response Rate Not Met,2015-07-20,0.1071,0.8333
Traffic Calming,2015,No,40,106,Response Rate Not Met,2015-07-23,0.3774,0.5135
Boulevard Cafe,2015,Yes,104,315,In Favour,2015-07-23,0.3302,0.6
Traffic Calming,2015,Yes,215,358,In Favour,2015-07-23,0.6006,0.8095
Front Yard Parking,2015,Yes,54,97,In Favour,2015-07-27,0.5567,0.92
Traffic Calming,2015,No,37,86,Response Rate Not Met,2015-07-28,0.4302,0.5588
Traffic Calming,2015,Yes,44,69,In Favour,2015-07-27,0.6377,0.6512
Traffic Calming,2015,Yes,59,75,Opposed,2015-07-28,0.7867,0.5536
Boulevard Cafe,2015,No,21,134,Response Rate Not Met,2015-07-28,0.1567,0.6667
Front Yard Parking,2015,Yes,22,53,In Favour,2015-07-28,0.4151,0.6667
Front Yard Parking,2015,Yes,20,51,In Favour,2015-07-27,0.3922,0.7368
Traffic Calming,2015,No,90,314,Response Rate Not Met,2015-08-04,0.2866,0.7692
Appeal - Front Yard Parking,2015,Yes,54,154,In Favour,2015-07-30,0.3506,0.8936
Appeal - Front Yard Parking,2015,Yes,68,107,In Favour,2015-08-06,0.6355,0.8
Front Yard Parking,2015,Yes,14,41,In Favour,2015-08-06,0.3415,1
Appeal - Front Yard Parking,2015,Yes,45,74,In Favour,2015-08-10,0.6081,0.6667
Appeal - Front Yard Parking,2015,Yes,76,148,Opposed,2015-08-13,0.5135,0.5352
Appeal - Front Yard Parking,2015,Yes,60,97,In Favour,2015-08-10,0.6186,1
Proposed Business Improvement Area,2015,Yes,14,36,In Favour,2015-08-17,0.3889,0.7857
Permit Parking,2015,Yes,8,11,In Favour,2015-08-13,0.7273,0.625
Boulevard Cafe,2015,Yes,35,93,Opposed,2015-08-24,0.3763,0.3438
Appeal - Front Yard Parking,2015,Yes,51,101,In Favour,2015-09-02,0.505,0.6818
Appeal - Front Yard Parking,2015,Yes,54,111,In Favour,2015-09-02,0.4865,0.96
Appeal - Front Yard Parking,2015,Yes,15,46,In Favour,2015-09-02,0.3261,1
Appeal - Front Yard Parking,2015,Yes,27,35,In Favour,2015-09-03,0.7714,1
Appeal - Front Yard Parking,2015,Yes,70,115,In Favour,2015-09-02,0.6087,1
Appeal - Front Yard Parking,2015,Yes,38,123,In Favour,2015-09-03,0.3089,0.7838
Appeal - Front Yard Parking,2015,Yes,12,35,In Favour,2015-09-03,0.3429,0.6667
Front Yard Parking,2015,Yes,24,33,In Favour,2015-09-03,0.7273,0.7143
Front Yard Parking,2015,Yes,21,32,In Favour,2015-09-08,0.6562,1
Front Yard Parking,2015,Yes,20,52,In Favour,2015-09-08,0.3846,1
Front Yard Parking,2015,Yes,24,38,In Favour,2015-09-08,0.6316,0.95
Traffic Calming,2015,No,150,319,Response Rate Not Met,2015-09-15,0.4702,0.85
Permit Parking,2015,No,60,294,Response Rate Not Met,2015-09-16,0.2041,0.5
Appeal - Front Yard Parking,2015,Yes,25,49,In Favour,2015-09-21,0.5102,1
Front Yard Parking,2015,Yes,23,68,In Favour,2015-09-17,0.3382,1
Appeal - Front Yard Parking,2015,Yes,46,95,In Favour,2015-09-22,0.4842,0.825
Front Yard Parking,2015,Yes,45,74,In Favour,2015-09-17,0.6081,1
Front Yard Parking,2015,Yes,38,78,In Favour,2015-09-29,0.4872,1
Appeal - Front Yard Parking,2015,Yes,37,85,In Favour,2015-09-23,0.4353,0.9032
Commercial Boulevard Parking,2015,No,11,86,Response Rate Not Met,2015-09-30,0.1279,0.5
Commercial Boulevard Parking,2015,Yes,11,28,Opposed,2015-09-24,0.3929,0.4545
Commercial Boulevard Parking,2015,No,10,85,Response Rate Not Met,2015-10-01,0.1176,0.4
Front Yard Parking,2015,Yes,49,103,In Favour,2015-09-24,0.4757,0.8478
Front Yard Parking,2015,Yes,13,28,In Favour,2015-09-28,0.4643,1
Front Yard Parking,2015,Yes,32,114,In Favour,2015-09-28,0.2807,0.9677
Front Yard Parking,2015,Yes,30,65,In Favour,2015-09-29,0.4615,0.875
Front Yard Parking,2015,No,34,153,Response Rate Not Met,2015-09-29,0.2222,0.7576
Front Yard Parking,2015,Yes,54,102,In Favour,2015-10-01,0.5294,1
Traffic Calming,2015,No,88,205,Response Rate Not Met,2015-10-06,0.4293,0.8429
Front Yard Parking,2015,Yes,63,100,In Favour,2015-10-14,0.63,0.9643
Front Yard Parking,2015,Yes,47,100,In Favour,2015-10-15,0.47,1
Front Yard Parking,2015,Yes,17,39,In Favour,2015-10-19,0.4359,1
Front Yard Parking,2015,Yes,46,144,In Favour,2015-10-14,0.3194,0.8667
Front Yard Parking,2015,Yes,21,46,In Favour,2015-10-15,0.4565,1
Front Yard Parking,2015,Yes,24,37,In Favour,2015-10-15,0.6486,1
Appeal - Front Yard Parking,2015,Yes,22,29,In Favour,2015-10-22,0.7586,0.8636
Appeal - Front Yard Parking,2015,Yes,39,84,In Favour,2015-10-22,0.4643,0.7931
Appeal - Front Yard Parking,2015,Yes,23,48,Opposed,2015-10-26,0.4792,0.2609
Appeal - Front Yard Parking,2015,Yes,66,147,In Favour,2015-10-26,0.449,0.8113
Appeal - Front Yard Parking,2015,Yes,15,47,In Favour,2015-10-28,0.3191,1
Appeal - Front Yard Parking,2015,Yes,19,42,In Favour,2015-10-27,0.4524,1
Proposed Business Improvement Area,2015,Yes,20,62,In Favour,2015-11-30,0.3226,0.9
Traffic Calming,2015,No,302,1637,Response Rate Not Met,2015-11-16,0.1845,0.834
Traffic Calming,2015,No,137,451,Response Rate Not Met,2015-11-05,0.3038,0.3636
Front Yard Parking,2015,Yes,31,50,In Favour,2015-11-02,0.62,1
Front Yard Parking,2015,Yes,32,91,In Favour,2015-11-02,0.3516,1
Front Yard Parking,2015,Yes,44,146,In Favour,2015-11-05,0.3014,0.7222
Appeal - Front Yard Parking,2015,Yes,36,60,In Favour,2015-11-02,0.6,0.8929
Traffic Calming,2015,No,360,1312,Response Rate Not Met,2015-11-10,0.2744,0.5706
Traffic Calming,2015,No,105,764,Response Rate Not Met,2015-11-23,0.1374,0.7158
Traffic Calming,2015,No,34,83,Response Rate Not Met,2015-11-17,0.4096,0.8276
Traffic Calming,2015,Yes,23,34,In Favour,2015-11-12,0.6765,0.8571
Front Yard Parking,2015,Yes,32,62,In Favour,2015-11-23,0.5161,1
Front Yard Parking,2015,Yes,42,79,In Favour,2015-11-23,0.5316,0.9722
Traffic Calming,2015,No,108,270,Response Rate Not Met,2015-11-25,0.4,0.7358
Boulevard Cafe,2015,Yes,37,81,Opposed,2015-11-25,0.4568,0.0278
Traffic Calming,2016,Yes,206,305,Opposed,2016-01-18,0.6754,0.5508
Traffic Calming,2016,Yes,122,189,In Favour,2016-01-18,0.6455,0.8571
Traffic Calming,2016,Yes,199,297,Opposed,2016-01-18,0.67,0.4541
Traffic Calming,2015,No,301,1652,Response Rate Not Met,2015-12-07,0.1822,0.6544
Traffic Calming,2015,Yes,47,87,In Favour,2015-12-08,0.5402,0.7727
Boulevard Cafe,2015,No,6,82,Response Rate Not Met,2015-12-07,0.0732,0.75
Permit Parking,2015,Yes,22,53,Opposed,2015-12-07,0.4151,0.4091
Traffic Calming,2016,Yes,66,106,Opposed,2016-01-18,0.6226,0.6271
Appeal - Front Yard Parking,2016,Yes,23,77,In Favour,2016-01-07,0.2987,1
Front Yard Parking,2016,Yes,44,87,In Favour,2016-01-07,0.5057,1
Front Yard Parking,2016,Yes,41,105,In Favour,2016-01-11,0.3905,0.95
Front Yard Parking,2016,Yes,11,22,In Favour,2016-01-11,0.5,0.6364
Appeal - Front Yard Parking,2016,Yes,30,81,In Favour,2016-01-12,0.3704,0.8667
Appeal - Front Yard Parking,2016,Yes,33,110,In Favour,2016-01-12,0.3,0.9231
Appeal - Front Yard Parking,2016,Yes,60,141,In Favour,2016-01-12,0.4255,0.7719
Appeal - Front Yard Parking,2016,Yes,30,88,In Favour,2016-01-13,0.3409,0.931
Permit Parking,2016,No,21,101,Response Rate Not Met,2016-01-13,0.2079,0.4762
Permit Parking,2016,Yes,48,90,Opposed,2016-01-18,0.5333,0.4583
Permit Parking,2016,Yes,36,89,Opposed,2016-01-20,0.4045,0.3611
Front Yard Parking,2016,Yes,45,84,In Favour,2016-01-19,0.5357,1
Front Yard Parking,2016,Yes,29,46,In Favour,2016-01-19,0.6304,0.9655
Appeal - Front Yard Parking,2016,Yes,39,130,In Favour,2016-01-20,0.3,0.6667
Traffic Calming,2016,Yes,51,87,In Favour,2016-01-21,0.5862,0.7143
Appeal - Front Yard Parking,2016,Yes,26,58,In Favour,2016-01-25,0.4483,0.9565
Appeal - Front Yard Parking,2016,Yes,14,21,In Favour,2016-01-25,0.6667,1
Appeal - Front Yard Parking,2016,Yes,17,26,In Favour,2016-01-19,0.6538,1
Appeal - Front Yard Parking,2016,Yes,34,62,In Favour,2016-01-19,0.5484,0.7812
Front Yard Parking,2016,Yes,78,140,In Favour,2016-01-18,0.5571,0.8507
Appeal - Front Yard Parking,2016,Yes,34,85,In Favour,2016-01-21,0.4,0.9706
Appeal - Front Yard Parking,2016,Yes,18,62,In Favour,2016-01-21,0.2903,0.9412
Permit Parking,2016,Yes,25,60,Opposed,2016-01-28,0.4167,0.4167
Front Yard Parking,2016,Yes,46,117,In Favour,2016-01-28,0.3932,0.9024
Front Yard Parking,2016,Yes,66,125,In Favour,2016-02-01,0.528,0.7143
Front Yard Parking,2016,Yes,40,109,In Favour,2016-01-28,0.367,1
Appeal - Front Yard Parking,2016,Yes,45,77,In Favour,2016-01-28,0.5844,0.9524
Traffic Calming,2016,No,60,130,Response Rate Not Met,2016-02-08,0.4615,0.8448
Boulevard Cafe,2016,Yes,55,114,In Favour,2016-02-11,0.4825,0.6792
Appeal - Front Yard Parking,2016,Yes,66,131,In Favour,2016-02-11,0.5038,0.6552
Appeal - Front Yard Parking,2016,Yes,18,53,In Favour,2016-02-11,0.3396,0.9444
Appeal - Front Yard Parking,2016,Yes,48,136,In Favour,2016-02-16,0.3529,0.5435
Appeal - Front Yard Parking,2016,Yes,28,61,In Favour,2016-02-16,0.459,0.72
Appeal - Front Yard Parking,2016,Yes,44,108,In Favour,2016-02-17,0.4074,0.65
Appeal - Front Yard Parking,2016,Yes,39,116,In Favour,2016-02-16,0.3362,0.9143
Front Yard Parking,2016,Yes,55,79,In Favour,2016-02-22,0.6962,0.9565
Permit Parking,2016,Yes,9,23,Opposed,2016-02-17,0.3913,0
Permit Parking,2016,Yes,66,150,In Favour,2016-02-17,0.44,0.6923
Traffic Calming,2016,No,53,138,Response Rate Not Met,2016-02-18,0.3841,0.75
Appeal - Front Yard Parking,2016,Yes,28,69,In Favour,2016-02-22,0.4058,0.875
Permit Parking,2016,No,258,1847,Response Rate Not Met,2016-03-07,0.1397,0.6274
Traffic Calming,2016,No,46,143,Response Rate Not Met,2016-02-29,0.3217,0.4048
Traffic Calming,2016,No,130,495,Response Rate Not Met,2016-03-03,0.2626,0.6346
Front Yard Parking,2016,Yes,15,23,In Favour,2016-02-22,0.6522,1
Traffic Calming,2016,No,971,2424,Response Rate Not Met,2016-03-02,0.4006,0.5839
Front Yard Parking,2016,Yes,87,159,In Favour,2016-03-09,0.5472,0.9878
Commercial Boulevard Parking,2016,No,6,45,Response Rate Not Met,2016-05-19,0.1333,0.25
Commercial Boulevard Parking,2016,No,1,46,Response Rate Not Met,2016-03-09,0.0217,NA
Front Yard Parking,2016,Yes,49,82,In Favour,2016-03-08,0.5976,0.9556
Front Yard Parking,2016,Yes,46,73,In Favour,2016-03-08,0.6301,0.8864
Boulevard Cafe,2016,No,10,51,Response Rate Not Met,2016-03-07,0.1961,0.375
Appeal - Front Yard Parking,2016,Yes,53,117,Opposed,2016-03-10,0.453,0.5192
Boulevard Cafe,2016,Yes,57,99,In Favour,2016-03-17,0.5758,0.7115
Appeal - Front Yard Parking,2016,Yes,48,115,In Favour,2016-03-23,0.4174,0.7442
Appeal - Front Yard Parking,2016,Yes,49,145,In Favour,2016-03-17,0.3379,0.6
Front Yard Parking,2016,Yes,30,68,In Favour,2016-03-21,0.4412,0.8929
Boulevard Cafe,2016,No,24,129,Response Rate Not Met,2016-03-24,0.186,0.7368
Traffic Calming,2016,No,55,116,Response Rate Not Met,2016-03-29,0.4741,0.9583
Appeal - Front Yard Parking,2016,Yes,34,58,Opposed,2016-04-05,0.5862,0.1875
Front Yard Parking,2016,Yes,14,28,In Favour,2016-04-05,0.5,1
Appeal - Front Yard Parking,2016,Yes,99,253,In Favour,2016-04-18,0.3913,0.9775
Appeal - Front Yard Parking,2016,Yes,64,151,In Favour,2016-04-13,0.4238,0.8548
Boulevard Cafe,2016,No,15,95,Response Rate Not Met,2016-05-31,0.1579,0.6667
Traffic Calming – Island,2016,No,18,63,Response Rate Not Met,2016-04-18,0.2857,0.8889
Front Yard Parking,2016,Yes,46,83,In Favour,2016-04-18,0.5542,0.85
Appeal - Front Yard Parking,2016,Yes,23,37,Opposed,2016-04-13,0.6216,0.3478
Appeal - Front Yard Parking,2016,Yes,39,138,In Favour,2016-04-25,0.2826,0.697
Appeal - Front Yard Parking,2016,Yes,48,80,Opposed,2016-04-14,0.6,0.2791
Appeal - Front Yard Parking,2016,Yes,36,85,In Favour,2016-04-20,0.4235,0.7059
Front Yard Parking,2016,Yes,54,86,In Favour,2016-04-20,0.6279,0.92
Front Yard Parking,2016,Yes,63,96,In Favour,2016-04-26,0.6562,0.9643
Boulevard Cafe,2016,Yes,37,131,Opposed,2016-04-27,0.2824,0.4722
Appeal - Front Yard Parking,2016,Yes,16,66,In Favour,2016-04-21,0.2424,0.7333
Boulevard Cafe,2016,No,14,104,Response Rate Not Met,2016-04-25,0.1346,1
Boulevard Cafe,2016,Yes,27,76,Opposed,2016-04-28,0.3553,0.2963
Boulevard Cafe,2016,Yes,12,44,In Favour,2016-04-26,0.2727,0.9
Proposed Business Improvement Area,2016,Yes,8,29,In Favour,2016-05-13,0.2759,0.75
Front Yard Parking,2016,Yes,36,61,In Favour,2016-04-27,0.5902,0.8333
Front Yard Parking,2016,Yes,60,126,In Favour,2016-04-27,0.4762,0.9286
Appeal - Front Yard Parking,2016,Yes,29,98,In Favour,2016-04-28,0.2959,0.7241
Traffic Calming,2016,Yes,16,25,In Favour,2016-05-02,0.64,0.8
Boulevard Cafe,2016,No,2,39,Response Rate Not Met,2016-05-03,0.0513,1
Traffic Calming,2016,No,25,51,Response Rate Not Met,2016-05-05,0.4902,0.84
Front Yard Parking,2016,Yes,64,153,In Favour,2016-05-16,0.4183,1
Appeal - Front Yard Parking,2016,Yes,41,69,In Favour,2016-05-11,0.5942,0.8
Appeal - Front Yard Parking,2016,Yes,14,51,In Favour,2016-05-12,0.2745,1
Appeal - Front Yard Parking,2016,Yes,67,149,In Favour,2016-05-12,0.4497,0.9104
Appeal - Front Yard Parking,2016,Yes,73,117,In Favour,2016-05-17,0.6239,0.9275
Appeal - Front Yard Parking,2016,Yes,76,117,In Favour,2016-05-17,0.6496,0.9306
Boulevard Cafe,2016,Yes,23,63,Opposed,2016-06-06,0.3651,0.1739
Traffic Calming,2016,No,73,166,Response Rate Not Met,2016-05-19,0.4398,0.7794
Front Yard Parking,2016,Yes,74,212,In Favour,2016-05-24,0.3491,0.8906
Traffic Calming,2016,Yes,88,140,Opposed,2016-05-25,0.6286,0.625
Traffic Calming,2016,Yes,39,63,In Favour,2016-05-26,0.619,0.9412
Front Yard Parking,2016,Yes,37,67,In Favour,2016-05-30,0.5522,0.8919
Appeal - Front Yard Parking,2016,Yes,26,51,In Favour,2016-05-31,0.5098,0.913
Appeal - Front Yard Parking,2016,Yes,58,89,In Favour,2016-05-31,0.6517,0.898
Front Yard Parking,2016,Yes,24,29,In Favour,2016-06-01,0.8276,0.9091
Appeal - Front Yard Parking,2016,Yes,17,35,In Favour,2016-06-01,0.4857,0.6667
Permit Parking,2016,Yes,4,6,Opposed,2016-05-31,0.6667,1
Traffic Calming,2016,No,25,116,Response Rate Not Met,2016-06-06,0.2155,0.72
Traffic Calming,2016,No,77,175,Response Rate Not Met,2016-09-06,0.44,0.8028
Front Yard Parking,2016,Yes,41,93,In Favour,2016-06-06,0.4409,0.9756
Boulevard Cafe,2016,Yes,16,47,Opposed,2016-09-08,0.3404,0.1333
Appeal - Front Yard Parking,2016,Yes,19,23,In Favour,2016-06-29,0.8261,0.7647
Front Yard Parking,2016,Yes,43,45,In Favour,2016-06-13,0.9556,0.9762
Boulevard Cafe,2016,Yes,61,143,In Favour,2016-06-08,0.4266,0.6786
Boulevard Cafe,2016,No,29,149,Response Rate Not Met,2016-06-15,0.1946,0.5185
Boulevard Cafe,2016,Yes,9,34,In Favour,2016-06-20,0.2647,1
Boulevard Cafe,2016,Yes,20,71,In Favour,2016-06-30,0.2817,0.8889
Appeal - Front Yard Parking,2016,Yes,33,95,In Favour,2016-06-22,0.3474,1
Front Yard Parking,2016,Yes,96,119,In Favour,2016-06-23,0.8067,0.977
Front Yard Parking,2016,Yes,56,114,Opposed,2016-06-20,0.4912,0.5306
Appeal - Front Yard Parking,2016,Yes,49,70,In Favour,2016-06-21,0.7,0.8409
Front Yard Parking,2016,Yes,44,110,In Favour,2016-06-22,0.4,0.9444
Front Yard Parking,2016,Yes,49,76,In Favour,2016-06-22,0.6447,0.9787
Front Yard Parking,2016,Yes,71,130,In Favour,2016-06-27,0.5462,0.7941
Boulevard Cafe,2016,Yes,11,44,Opposed,2016-06-27,0.25,0.5
Front Yard Parking,2016,Yes,12,23,In Favour,2016-06-27,0.5217,0.8333
Traffic Calming,2016,Yes,43,72,Opposed,2016-09-06,0.5972,0.4634
Traffic Calming,2016,Yes,34,64,In Favour,2016-09-06,0.5312,0.7273
Boulevard Cafe,2016,Yes,7,13,Opposed,2016-09-12,0.5385,0.2857
Traffic Calming,2016,No,11,30,Response Rate Not Met,2016-09-29,0.3667,0.4545
Traffic Calming,2016,Yes,76,116,Opposed,2016-09-07,0.6552,0.6143
Traffic Calming,2016,No,89,319,Response Rate Not Met,2016-09-07,0.279,0.6216
Traffic Calming,2016,Yes,94,188,In Favour,2016-09-07,0.5,0.7176
Traffic Calming,2016,No,25,64,Response Rate Not Met,2016-09-08,0.3906,1
Front Yard Parking,2016,Yes,57,103,In Favour,2016-09-20,0.5534,0.8864
Front Yard Parking,2016,Yes,41,70,In Favour,2016-09-14,0.5857,0.9722
Appeal - Front Yard Parking,2016,Yes,30,48,In Favour,2016-09-13,0.625,1
Appeal - Front Yard Parking,2016,Yes,71,133,In Favour,2016-09-15,0.5338,0.6765
Front Yard Parking,2016,Yes,41,78,In Favour,2016-09-14,0.5256,0.95
Appeal - Front Yard Parking,2016,Yes,92,194,In Favour,2016-09-20,0.4742,0.9024
Front Yard Parking,2016,Yes,26,44,In Favour,2016-09-15,0.5909,1
Appeal - Front Yard Parking,2016,Yes,7,15,In Favour,2016-09-19,0.4667,0.8571
Front Yard Parking,2016,Yes,35,46,In Favour,2016-09-15,0.7609,0.9697
Boulevard Cafe,2016,No,28,127,Response Rate Not Met,2016-09-19,0.2205,0.35
Traffic Calming,2016,No,204,461,Response Rate Not Met,2016-09-28,0.4425,0.7419
Boulevard Cafe,2016,No,3,14,Response Rate Not Met,2016-09-21,0.2143,0.3333
Boulevard Cafe,2016,Yes,30,115,Opposed,2016-09-26,0.2609,0.0741
Boulevard Cafe,2016,Yes,37,118,In Favour,2016-09-29,0.3136,0.6944
Boulevard Cafe,2016,Yes,26,114,In Favour,2016-10-03,0.2281,0.7727
Boulevard Cafe,2016,Yes,29,66,In Favour,2016-10-03,0.4394,1
Boulevard Cafe,2016,No,0,5,Response Rate Not Met,2016-10-04,0,NA
Appeal - Front Yard Parking,2016,Yes,26,71,In Favour,2016-10-03,0.3662,0.6538
Traffic Calming,2016,No,105,225,Response Rate Not Met,2016-10-11,0.4667,0.76
Appeal - Front Yard Parking,2016,Yes,63,116,In Favour,2016-10-03,0.5431,1
Appeal - Front Yard Parking,2016,Yes,46,125,In Favour,2016-09-29,0.368,0.8537
Front Yard Parking,2016,Yes,10,12,In Favour,2016-10-03,0.8333,1
Front Yard Parking,2016,Yes,26,40,In Favour,2016-10-04,0.65,0.9565
Appeal - Front Yard Parking,2016,Yes,32,81,In Favour,2016-10-04,0.3951,0.7333
Front Yard Parking,2016,Yes,50,88,In Favour,2016-10-06,0.5682,1
Front Yard Parking,2016,Yes,28,41,In Favour,2016-10-05,0.6829,0.9643
Front Yard Parking,2016,Yes,40,64,In Favour,2016-10-04,0.625,0.8108
Front Yard Parking,2016,Yes,58,96,In Favour,2016-10-05,0.6042,0.9762
Appeal - Front Yard Parking,2016,Yes,31,112,In Favour,2016-10-05,0.2768,1
Appeal - Front Yard Parking,2016,Yes,55,117,In Favour,2016-10-06,0.4701,0.9057
Front Yard Parking,2016,Yes,71,136,In Favour,2016-10-06,0.5221,0.9559
Front Yard Parking,2016,Yes,48,83,In Favour,2016-10-06,0.5783,0.9778
Appeal - Front Yard Parking,2016,Yes,40,84,In Favour,2016-10-11,0.4762,0.9394
Appeal - Front Yard Parking,2016,Yes,36,85,In Favour,2016-10-11,0.4235,0.8824
Appeal - Front Yard Parking,2016,No,22,140,Response Rate Not Met,2016-10-11,0.1571,0.7619
