application_for,open_date_year,response_rate_met,ballots_cast,ballots_distributed,poll_result,open_date,ballot_return_rate,ballot_in_favour_rate
Appeal - Front Yard Parking,2018,Yes,52,76,In Favour,2018-02-21,0.6842,0.8431
Appeal - Front Yard Parking,2018,Yes,54,106,In Favour,2018-02-21,0.5094,0.7778
Appeal - Front Yard Parking,2018,Yes,13,13,In Favour,2018-02-22,1,1
Front Yard Parking,2018,Yes,32,76,In Favour,2018-02-20,0.4211,1
Front Yard Parking,2018,Yes,41,107,In Favour,2018-02-22,0.3832,0.8919
Front Yard Parking,2018,Yes,29,59,In Favour,2018-02-27,0.4915,1
Front Yard Parking,2018,Yes,32,46,In Favour,2018-03-05,0.6957,0.8276
Front Yard Parking,2018,Yes,63,125,In Favour,2018-03-06,0.504,0.9655
Front Yard Parking,2018,Yes,47,71,In Favour,2018-03-06,0.662,1
Proposed Business Improvement Area,2018,Yes,7,20,In Favour,2018-02-12,0.35,1
Appeal - Front Yard Parking,2018,Yes,30,67,In Favour,2018-02-26,0.4478,0.8929
Front Yard Parking,2018,Yes,33,78,Opposed,2018-02-28,0.4231,0.4516
Appeal - Front Yard Parking,2018,Yes,49,106,Opposed,2018-02-28,0.4623,0.5
Appeal - Front Yard Parking,2018,Yes,43,84,Opposed,2018-03-05,0.5119,0.3023
Appeal - Front Yard Parking,2018,Yes,42,59,In Favour,2018-03-13,0.7119,1
Front Yard Parking,2018,Yes,91,200,In Favour,2018-03-14,0.455,0.9885
Front Yard Parking,2018,Yes,49,183,In Favour,2018-03-07,0.2678,0.8919
Front Yard Parking,2018,Yes,35,75,In Favour,2018-03-15,0.4667,0.9062
Front Yard Parking,2018,Yes,32,128,In Favour,2018-03-19,0.25,1
Traffic Calming,2018,No,120,343,Response Rate Not Met,2018-03-08,0.3499,0.5146
Appeal - Front Yard Parking,2018,No,7,35,Response Rate Not Met,2018-03-13,0.2,0.8333
Traffic Calming,2018,No,122,335,Response Rate Not Met,2018-03-28,0.3642,0.4857
Boulevard Cafe,2018,No,13,135,Response Rate Not Met,2018-03-08,0.0963,0.8333
Permit Parking,2018,Yes,13,19,In Favour,2018-03-19,0.6842,1
Front Yard Parking,2018,Yes,33,58,In Favour,2018-03-20,0.569,1
Front Yard Parking,2018,Yes,58,104,In Favour,2018-03-12,0.5577,0.8889
Appeal - Front Yard Parking,2018,No,5,21,Response Rate Not Met,2018-03-12,0.2381,1
Appeal - Front Yard Parking,2018,Yes,10,42,In Favour,2018-03-07,0.2381,0.8889
Front Yard Parking,2018,Yes,11,43,In Favour,2018-03-14,0.2558,1
Commercial Boulevard Parking,2018,Yes,19,63,In Favour,2018-03-28,0.3016,0.5789
Traffic Calming,2018,Yes,35,55,In Favour,2018-03-15,0.6364,0.697
Appeal - Front Yard Parking,2018,Yes,43,86,In Favour,2018-03-21,0.5,0.6512
Front Yard Parking,2018,Yes,41,103,In Favour,2018-03-20,0.3981,0.8718
Front Yard Parking,2018,Yes,48,104,In Favour,2018-03-21,0.4615,0.8958
Traffic Calming,2018,Yes,131,202,In Favour,2018-03-26,0.6485,0.8699
Appeal - Front Yard Parking,2018,Yes,25,75,In Favour,2018-03-22,0.3333,0.9565
Appeal - Front Yard Parking,2018,Yes,34,64,In Favour,2018-03-26,0.5312,1
Boulevard Cafe,2018,No,31,184,Response Rate Not Met,2018-03-22,0.1685,0.6897
Front Yard Parking,2018,Yes,8,16,In Favour,2018-03-27,0.5,1
Traffic Calming,2018,Yes,93,136,In Favour,2018-03-27,0.6838,0.8372
Appeal - Front Yard Parking,2018,Yes,34,56,In Favour,2018-03-29,0.6071,1
Front Yard Parking,2018,Yes,37,85,In Favour,2018-04-03,0.4353,1
Traffic Calming,2018,No,66,199,Response Rate Not Met,2018-04-03,0.3317,0.7541
Appeal - Front Yard Parking,2018,Yes,51,75,Opposed,2018-04-09,0.68,0.46
Appeal - Front Yard Parking,2018,Yes,38,74,In Favour,2018-04-09,0.5135,0.9394
Front Yard Parking,2018,Yes,76,131,In Favour,2018-04-10,0.5802,0.9853
Front Yard Parking,2018,Yes,61,145,Opposed,2018-04-19,0.4207,0.8378
Traffic Calming,2018,Yes,56,104,In Favour,2018-04-18,0.5385,0.9245
Traffic Calming,2018,Yes,92,157,In Favour,2018-04-19,0.586,0.8315
Boulevard Cafe,2018,Yes,44,159,In Favour,2018-04-26,0.2767,0.9302
Boulevard Cafe,2018,No,24,204,Response Rate Not Met,2018-05-03,0.1176,0.5455
Front Yard Parking,2018,Yes,37,55,In Favour,2018-04-26,0.6727,1
Front Yard Parking,2018,Yes,25,84,In Favour,2018-04-30,0.2976,0.92
Traffic Calming,2018,Yes,103,196,In Favour,2018-04-30,0.5255,0.7938
Front Yard Parking,2018,Yes,30,60,In Favour,2018-05-16,0.5,0.5926
Front Yard Parking,2018,Yes,53,95,In Favour,2018-05-22,0.5579,0.8958
Front Yard Parking,2018,Yes,30,64,In Favour,2018-05-17,0.4688,0.9333
Front Yard Parking,2018,Yes,28,63,In Favour,2018-05-17,0.4444,1
Traffic Calming,2018,Yes,101,154,Opposed,2018-05-14,0.6558,0.4157
Traffic Calming,2018,Yes,136,277,In Favour,2018-05-24,0.491,0.8065
Traffic Calming,2018,No,69,157,Response Rate Not Met,2018-05-15,0.4395,0.75
Traffic Calming,2018,No,0,3,Response Rate Not Met,2018-05-14,0,NA
Permit Parking,2018,Yes,62,94,In Favour,2018-05-10,0.6596,0.8364
Front Yard Parking,2018,Yes,59,115,In Favour,2018-05-22,0.513,0.9796
Front Yard Parking,2018,Yes,39,84,In Favour,2018-05-16,0.4643,0.9211
Boulevard Cafe,2018,No,29,323,Response Rate Not Met,2018-05-24,0.0898,0.5357
Front Yard Parking,2018,Yes,38,76,In Favour,2018-05-22,0.5,0.9706
Front Yard Parking,2018,Yes,28,90,Opposed,2018-05-28,0.3111,0.6087
Front Yard Parking,2018,Yes,37,92,In Favour,2018-06-07,0.4022,1
Front Yard Parking,2018,Yes,52,99,In Favour,2018-06-07,0.5253,0.8837
Front Yard Parking,2018,Yes,45,117,In Favour,2018-06-04,0.3846,0.975
Boulevard Cafe,2018,Yes,40,66,Opposed,2018-06-12,0.6061,0.125
Boulevard Cafe,2018,No,22,154,Response Rate Not Met,2018-06-06,0.1429,0.8636
Front Yard Parking,2018,Yes,46,112,In Favour,2018-06-11,0.4107,0.9091
Boulevard Cafe,2018,Yes,48,125,In Favour,2018-06-11,0.384,0.9268
Front Yard Parking,2018,Yes,56,85,In Favour,2018-06-12,0.6588,0.94
Traffic Calming,2018,Yes,11,17,In Favour,2018-06-27,0.6471,1
Front Yard Parking,2018,Yes,47,117,In Favour,2018-06-27,0.4017,1
Front Yard Parking,2018,Yes,27,54,In Favour,2018-06-25,0.5,0.8182
Appeal - Front Yard Parking,2018,Yes,25,55,In Favour,2018-07-03,0.4545,0.6
Traffic Calming,2018,Yes,110,198,Opposed,2018-07-04,0.5556,0.566
Traffic Calming,2018,No,29,86,Response Rate Not Met,2018-06-26,0.3372,0.8214
Traffic Calming,2018,No,66,204,Response Rate Not Met,2018-07-05,0.3235,0.8361
Front Yard Parking,2018,Yes,46,86,In Favour,2018-07-30,0.5349,0.814
Front Yard Parking,2018,Yes,18,30,In Favour,2018-07-10,0.6,0.8667
Boulevard Cafe,2018,No,13,89,Response Rate Not Met,2018-07-12,0.1461,0.6154
Traffic Calming,2018,Yes,49,80,In Favour,2018-07-16,0.6125,0.8478
Traffic Calming,2018,No,204,878,Response Rate Not Met,2018-07-16,0.2323,0.7831
Traffic Calming,2018,No,33,122,Response Rate Not Met,2018-07-17,0.2705,0.8065
Traffic Calming,2018,Yes,158,282,In Favour,2018-07-30,0.5603,0.8065
Traffic Calming,2018,No,168,652,Response Rate Not Met,2018-07-31,0.2577,0.8616
Boulevard Cafe,2018,Yes,24,76,Opposed,2018-07-19,0.3158,0.3333
Traffic Calming,2018,No,8,20,Response Rate Not Met,2018-09-12,0.4,1
Traffic Calming,2018,No,36,73,Response Rate Not Met,2018-09-12,0.4932,0.8485
Boulevard Cafe,2018,Yes,20,66,Opposed,2018-07-24,0.303,0.2353
Front Yard Parking,2018,Yes,38,53,Opposed,2018-07-31,0.717,0.5429
Front Yard Parking,2018,Yes,20,58,In Favour,2018-07-30,0.3448,0.6471
Front Yard Parking,2018,Yes,34,100,In Favour,2018-08-01,0.34,1
Appeal - Front Yard Parking,2018,Yes,32,67,In Favour,2018-08-02,0.4776,1
Boulevard Cafe,2018,No,29,219,Response Rate Not Met,2018-08-13,0.1324,0.6429
Traffic Calming,2018,No,45,143,Response Rate Not Met,2018-08-01,0.3147,0.7561
Business Improvement Area,2018,Yes,116,302,In Favour,2018-08-20,0.3841,0.9204
Front Yard Parking,2018,Yes,41,111,In Favour,2018-08-21,0.3694,0.9756
Front Yard Parking,2018,Yes,32,68,In Favour,2018-08-21,0.4706,1
Boulevard Cafe,2018,No,26,255,Response Rate Not Met,2018-09-18,0.102,0.8333
Traffic Calming,2018,No,77,254,Response Rate Not Met,2018-09-17,0.3031,0.8571
Permit Parking,2018,Yes,69,164,In Favour,2018-12-04,0.4207,0.6567
Boulevard Cafe,2018,Yes,22,62,In Favour,2018-09-17,0.3548,0.8667
Front Yard Parking,2018,Yes,49,169,In Favour,2018-09-17,0.2899,0.7556
Front Yard Parking,2018,Yes,26,42,In Favour,2018-09-18,0.619,1
Front Yard Parking,2018,Yes,37,78,In Favour,2018-09-19,0.4744,0.8571
Permit Parking,2018,Yes,24,54,In Favour,2018-09-20,0.4444,0.8182
Permit Parking,2018,Yes,77,214,In Favour,2018-12-05,0.3598,0.7903
Traffic Calming,2018,Yes,309,526,Opposed,2018-12-04,0.5875,0.5461
Traffic Calming,2018,Yes,82,128,In Favour,2018-12-10,0.6406,0.8421
Front Yard Parking,2018,Yes,41,121,In Favour,2018-12-04,0.3388,1
Front Yard Parking,2018,Yes,40,68,In Favour,2018-12-05,0.5882,0.9459
Boulevard Cafe,2018,Yes,29,83,In Favour,2018-12-05,0.3494,0.6429
Boulevard Cafe,2018,Yes,26,74,In Favour,2018-12-06,0.3514,0.76
Commercial Boulevard Parking,2018,Yes,8,18,Opposed,2018-12-17,0.4444,0.25
Front Yard Parking,2018,Yes,68,83,In Favour,2018-12-10,0.8193,0.9516
Front Yard Parking,2018,Yes,34,59,In Favour,2018-12-12,0.5763,0.9677
Front Yard Parking,2018,Yes,42,74,In Favour,2018-12-11,0.5676,0.825
Front Yard Parking,2018,Yes,29,68,In Favour,2018-12-11,0.4265,0.7586
Front Yard Parking,2018,Yes,39,75,In Favour,2018-12-17,0.52,0.7632
Front Yard Parking,2018,Yes,13,16,In Favour,2018-12-13,0.8125,0.9091
Front Yard Parking,2018,Yes,19,35,In Favour,2018-12-12,0.5429,1
Front Yard Parking,2018,Yes,43,97,In Favour,2018-12-12,0.4433,0.7949
Front Yard Parking,2018,Yes,23,60,In Favour,2018-12-13,0.3833,0.9524
Traffic Calming,2018,No,30,108,Response Rate Not Met,2018-12-17,0.2778,0.6207
Traffic Calming,2018,No,0,5,Response Rate Not Met,2018-12-18,0,NA
Permit Parking,2018,Yes,24,56,Opposed,2018-12-19,0.4286,0.3333
Front Yard Parking,2018,Yes,27,68,In Favour,2018-12-18,0.3971,0.7273
Front Yard Parking,2018,Yes,48,90,In Favour,2018-12-20,0.5333,0.6579
Front Yard Parking,2018,Yes,26,81,In Favour,2018-12-20,0.321,0.92
Boulevard Cafe,2019,Yes,20,34,In Favour,2019-01-24,0.5882,1
Front Yard Parking,2019,Yes,38,61,In Favour,2019-01-17,0.623,1
Commercial Boulevard Parking,2019,Yes,16,31,Opposed,2019-01-24,0.5161,0.3077
Front Yard Parking,2019,Yes,22,49,In Favour,2019-01-22,0.449,1
Commercial Boulevard Parking,2019,Yes,4,9,In Favour,2019-01-29,0.4444,1
Permit Parking,2019,Yes,35,80,In Favour,2019-01-29,0.4375,0.6176
Front Yard Parking,2019,Yes,22,55,In Favour,2019-01-30,0.4,1
Front Yard Parking,2019,Yes,42,106,In Favour,2019-01-29,0.3962,1
Front Yard Parking,2019,Yes,12,31,In Favour,2019-01-28,0.3871,0.75
Traffic Calming,2019,Yes,65,122,In Favour,2019-01-28,0.5328,0.8667
Traffic Calming,2019,No,13,58,Response Rate Not Met,2019-02-04,0.2241,0.6667
Front Yard Parking,2019,Yes,47,80,In Favour,2019-02-05,0.5875,1
Traffic Calming,2019,Yes,36,44,In Favour,2019-02-04,0.8182,0.9167
Traffic Calming,2019,Yes,31,59,Opposed,2019-02-11,0.5254,0.4516
Front Yard Parking,2019,Yes,62,92,In Favour,2019-02-14,0.6739,0.9649
Front Yard Parking,2019,Yes,25,36,In Favour,2019-02-14,0.6944,0.9524
Boulevard Cafe,2019,No,23,148,Response Rate Not Met,2019-02-28,0.1554,0.4286
Boulevard Cafe,2019,Yes,27,69,Opposed,2019-03-06,0.3913,0.0741
Boulevard Cafe,2019,Yes,48,152,Opposed,2019-03-20,0.3158,0.3913
Boulevard Cafe,2019,No,275,1878,Response Rate Not Met,2019-03-14,0.1464,0.3984
Traffic Calming,2019,Yes,297,539,In Favour,2019-03-11,0.551,0.7434
Traffic Calming,2019,Yes,128,202,In Favour,2019-03-25,0.6337,0.6529
Traffic Calming,2019,Yes,126,221,Opposed,2019-03-28,0.5701,0.5495
Front Yard Parking,2019,Yes,11,19,In Favour,2019-03-25,0.5789,0.8182
Front Yard Parking,2019,Yes,44,74,In Favour,2019-04-02,0.5946,1
Front Yard Parking,2019,Yes,55,105,In Favour,2019-04-02,0.5238,0.8
Front Yard Parking,2019,Yes,20,34,In Favour,2019-03-20,0.5882,1
Front Yard Parking,2019,Yes,24,47,In Favour,2019-04-01,0.5106,0.8261
Boulevard Cafe,2019,Yes,43,137,In Favour,2019-04-04,0.3139,0.5897
Traffic Calming,2019,No,124,369,Response Rate Not Met,2019-04-09,0.336,0.7864
Traffic Calming,2019,No,165,539,Response Rate Not Met,2019-04-11,0.3061,0.5038
Front Yard Parking,2019,Yes,28,56,In Favour,2019-04-02,0.5,1
Front Yard Parking,2019,Yes,49,79,In Favour,2019-04-01,0.6203,0.9184
Front Yard Parking,2019,Yes,33,63,In Favour,2019-04-11,0.5238,0.9032
Boulevard Cafe,2019,Yes,19,46,In Favour,2019-04-08,0.413,0.9412
Boulevard Cafe,2019,Yes,49,92,Opposed,2019-04-25,0.5326,0.1556
Traffic Calming,2019,No,120,711,Response Rate Not Met,2019-05-02,0.1688,0.7455
Front Yard Parking,2019,Yes,16,40,In Favour,2019-04-11,0.4,0.875
Front Yard Parking,2019,Yes,36,52,In Favour,2019-04-15,0.6923,0.8182
Permit Parking,2019,Yes,72,134,Opposed,2019-04-18,0.5373,0.4603
Boulevard Cafe,2019,Yes,40,96,In Favour,2019-04-18,0.4167,0.9688
Boulevard Cafe,2019,Yes,50,128,In Favour,2019-04-23,0.3906,0.6818
Front Yard Parking,2019,Yes,52,101,In Favour,2019-04-16,0.5149,0.8723
Front Yard Parking,2019,No,27,129,Response Rate Not Met,2019-04-25,0.2093,0.6538
Front Yard Parking,2019,Yes,43,131,In Favour,2019-04-23,0.3282,0.9444
Front Yard Parking,2019,Yes,35,62,In Favour,2019-04-24,0.5645,0.8571
Traffic Calming,2019,No,27,96,Response Rate Not Met,2019-05-13,0.2812,0.5769
Traffic Calming,2019,No,98,272,Response Rate Not Met,2019-05-16,0.3603,0.8523
Front Yard Parking,2019,Yes,35,113,In Favour,2019-05-15,0.3097,0.9583
Business Improvement Area,2019,Yes,17,56,In Favour,2019-06-17,0.3036,0.9412
Front Yard Parking,2019,Yes,63,140,In Favour,2019-05-15,0.45,0.9649
Front Yard Parking,2019,Yes,32,68,In Favour,2019-05-23,0.4706,0.8333
Front Yard Parking,2019,Yes,24,41,In Favour,2019-05-23,0.5854,0.7368
Boulevard Cafe,2019,Yes,34,159,In Favour,2019-06-05,0.2138,0.8333
Traffic Calming,2019,Yes,54,95,In Favour,2019-06-12,0.5684,0.7692
Traffic Calming,2019,Yes,115,187,In Favour,2019-06-13,0.615,0.6697
Traffic Calming,2019,Yes,162,211,In Favour,2019-06-10,0.7678,0.7619
Front Yard Parking,2019,Yes,55,155,In Favour,2019-06-12,0.3548,0.9057
Permit Parking,2019,Yes,61,137,Opposed,2019-06-17,0.4453,0.2881
Boulevard Cafe,2019,Yes,50,113,In Favour,2019-06-19,0.4425,0.7209
Boulevard Cafe,2019,No,28,128,Response Rate Not Met,2019-07-03,0.2188,0.2308
Boulevard Cafe,2019,Yes,20,67,In Favour,2019-07-11,0.2985,0.8333
Front Yard Parking,2019,Yes,67,136,In Favour,2019-07-08,0.4926,0.8333
Traffic Calming,2019,No,25,53,Response Rate Not Met,2019-07-09,0.4717,0.36
Front Yard Parking,2019,Yes,69,145,In Favour,2019-07-16,0.4759,0.8197
Front Yard Parking,2019,Yes,31,63,In Favour,2019-07-17,0.4921,0.8929
Front Yard Parking,2019,Yes,27,35,In Favour,2019-07-15,0.7714,0.6296
Front Yard Parking,2019,Yes,34,60,In Favour,2019-07-16,0.5667,1
Front Yard Parking,2019,No,33,197,Response Rate Not Met,2019-07-25,0.1675,0.75
Front Yard Parking,2019,Yes,44,94,In Favour,2019-07-29,0.4681,1
Front Yard Parking,2019,Yes,45,102,In Favour,2019-07-31,0.4412,0.6977
Traffic Calming,2019,Yes,78,167,In Favour,2019-07-29,0.4671,0.8219
Commercial Boulevard Parking,2019,Yes,18,46,In Favour,2019-08-07,0.3913,0.7778
Traffic Calming,2019,No,48,138,Response Rate Not Met,2019-08-07,0.3478,0.8333
Traffic Calming,2019,No,74,204,Response Rate Not Met,2019-08-08,0.3627,0.803
Traffic Calming,2019,No,95,391,Response Rate Not Met,2019-08-12,0.243,0.5949
Permit Parking,2019,Yes,39,78,In Favour,2019-08-08,0.5,0.7105
Boulevard Cafe,2019,Yes,27,70,In Favour,2019-08-15,0.3857,0.913
Front Yard Parking,2019,Yes,14,20,In Favour,2019-08-29,0.7,0.9167
Front Yard Parking,2019,Yes,16,30,In Favour,2019-08-29,0.5333,1
Boulevard Cafe,2019,Yes,36,67,Opposed,2019-08-22,0.5373,0.4375
Boulevard Cafe,2019,Yes,20,61,Opposed,2019-08-28,0.3279,0.1053
Permit Parking,2019,Yes,11,48,In Favour,2019-09-09,0.2292,0.6364
Front Yard Parking,2019,Yes,48,84,In Favour,2019-09-09,0.5714,1
Permit Parking,2019,Yes,7,22,In Favour,2019-09-19,0.3182,1
Permit Parking,2019,Yes,40,100,In Favour,2019-09-19,0.4,0.8571
Permit Parking,2019,Yes,2,2,Opposed,2019-09-23,1,NA
Permit Parking,2019,Yes,49,150,In Favour,2019-09-16,0.3267,0.6522
Permit Parking,2019,Yes,22,45,In Favour,2019-10-03,0.4889,0.619
Permit Parking,2019,Yes,13,46,In Favour,2019-10-03,0.2826,0.9167
Permit Parking,2019,Yes,27,59,In Favour,2019-09-24,0.4576,0.6296
Permit Parking,2019,No,54,281,Response Rate Not Met,2019-10-03,0.1922,0.6
Boulevard Cafe,2019,Yes,28,47,In Favour,2019-10-07,0.5957,0.9231
Boulevard Cafe,2019,Yes,33,126,Opposed,2019-09-24,0.2619,0.2759
Permit Parking,2019,No,6,41,Response Rate Not Met,2019-10-08,0.1463,1
Permit Parking,2019,Yes,84,177,Opposed,2019-10-09,0.4746,0.1486
Traffic Calming,2019,No,180,651,Response Rate Not Met,2019-11-12,0.2765,0.8224
Front Yard Parking,2019,Yes,41,127,In Favour,2019-10-28,0.3228,1
Permit Parking,2019,Yes,34,68,In Favour,2019-09-25,0.5,0.5806
Boulevard Cafe,2019,Yes,18,27,Opposed,2019-10-24,0.6667,0.3889
Front Yard Parking,2019,Yes,49,95,In Favour,2019-10-24,0.5158,1
Traffic Calming Safety Zone,2020,No,133,482,Response Rate Not Met,2020-02-10,0.2759,0.4242
Traffic Calming,2019,Yes,79,138,In Favour,2019-10-29,0.5725,0.8205
Traffic Calming,2019,No,51,235,Response Rate Not Met,2019-10-30,0.217,0.8409
Front Yard Parking,2019,Yes,61,99,In Favour,2019-10-30,0.6162,0.9474
Boulevard Cafe,2019,Yes,28,95,Opposed,2019-10-28,0.2947,0.3636
Traffic Calming,2019,No,60,141,Response Rate Not Met,2019-11-12,0.4255,0.8846
Traffic Calming,2019,Yes,44,86,Opposed,2019-10-31,0.5116,0.3529
Traffic Calming,2019,Yes,99,188,Opposed,2019-10-31,0.5266,0.6237
Traffic Calming,2019,Yes,49,76,Opposed,2019-11-12,0.6447,0.4583
Traffic Calming,2019,Yes,39,72,In Favour,2019-11-04,0.5417,0.8649
Traffic Calming,2019,Yes,90,148,Opposed,2019-10-31,0.6081,0.525
Front Yard Parking,2019,Yes,13,35,In Favour,2019-11-05,0.3714,1
Front Yard Parking,2019,Yes,63,127,In Favour,2019-11-04,0.4961,0.9636
Front Yard Parking,2019,Yes,36,62,In Favour,2019-11-13,0.5806,1
Boulevard Cafe,2019,Yes,14,60,In Favour,2019-11-06,0.2333,0.9286
Traffic Calming,2019,Yes,59,115,In Favour,2019-11-13,0.513,0.9107
Traffic Calming,2019,Yes,71,132,In Favour,2019-11-19,0.5379,0.7941
Front Yard Parking,2019,Yes,75,133,In Favour,2019-11-21,0.5639,1
Front Yard Parking,2019,Yes,26,57,In Favour,2019-11-20,0.4561,0.72
Permit Parking,2019,Yes,11,26,Opposed,2019-11-28,0.4231,0.0909
Permit Parking,2019,Yes,50,96,In Favour,2019-11-25,0.5208,0.7551
Traffic Calming,2019,No,25,74,Response Rate Not Met,2019-12-02,0.3378,1
Front Yard Parking,2019,Yes,43,106,In Favour,2019-12-05,0.4057,0.85
Front Yard Parking,2019,Yes,48,97,In Favour,2019-12-05,0.4948,0.5682
Permit Parking,2019,Yes,45,127,In Favour,2019-12-09,0.3543,0.5581
Appeal - Front Yard Parking,2020,Yes,25,51,In Favour,2020-01-06,0.4902,0.8261
Permit Parking,2019,Yes,96,150,Opposed,2019-12-11,0.64,0.4943
Front Yard Parking,2020,Yes,50,78,In Favour,2020-01-06,0.641,0.9091
Front Yard Parking,2020,Yes,42,77,In Favour,2020-01-07,0.5455,0.9762
Front Yard Parking,2020,Yes,22,85,In Favour,2020-01-09,0.2588,0.9333
Front Yard Parking,2020,Yes,16,23,Opposed,2020-01-08,0.6957,0.4375
Front Yard Parking,2020,Yes,16,23,Opposed,2020-01-09,0.6957,0.4375
Business Improvement Area,2020,Yes,83,175,In Favour,2020-01-24,0.4743,0.9146
Traffic Calming,2020,Yes,43,80,In Favour,2020-01-13,0.5375,0.8462
Front Yard Parking,2020,Yes,36,56,In Favour,2020-01-15,0.6429,0.9697
Front Yard Parking,2020,Yes,55,106,In Favour,2020-01-14,0.5189,0.9608
Permit Parking,2020,Yes,78,141,In Favour,2020-01-20,0.5532,0.5676
Traffic Calming Safety Zone,2020,Yes,19,43,In Favour,2020-02-10,0.4419,0.7059
Permit Parking,2020,Yes,14,36,Opposed,2020-01-23,0.3889,0
Front Yard Parking,2020,Yes,49,107,In Favour,2020-01-23,0.4579,0.8889
Permit Parking,2020,Yes,31,130,In Favour,2020-02-13,0.2385,0.7
Traffic Calming Safety Zone,2020,Yes,130,376,In Favour,2020-02-20,0.3457,0.708
Traffic Calming,2020,Yes,40,72,In Favour,2020-02-18,0.5556,0.8421
Front Yard Parking,2020,Yes,45,113,In Favour,2020-02-13,0.3982,0.8974
Front Yard Parking,2020,Yes,39,96,In Favour,2020-02-18,0.4062,0.8788
Front Yard Parking,2020,Yes,35,41,In Favour,2020-02-12,0.8537,0.7714
Front Yard Parking,2020,Yes,39,99,In Favour,2020-02-12,0.3939,0.9706
Permit Parking,2020,Yes,19,52,Opposed,2020-02-19,0.3654,0.1111
Permit Parking,2020,Yes,69,114,Opposed,2020-02-19,0.6053,0.5079
Front Yard Parking,2020,Yes,40,91,In Favour,2020-02-20,0.4396,0.6944
Front Yard Parking,2020,Yes,40,104,In Favour,2020-02-27,0.3846,0.6923
Front Yard Parking,2020,Yes,11,30,In Favour,2020-02-27,0.3667,1
Permit Parking Removal,2020,Yes,50,166,Opposed,2020-03-04,0.3012,0.2979
Permit Parking Removal,2020,Yes,25,72,Opposed,2020-03-02,0.3472,0.4545
Permit Parking Removal,2020,Yes,39,65,Opposed,2020-03-05,0.6,0.2895
Permit Parking Removal,2020,Yes,25,63,In Favour,2020-12-29,0.3968,0.6667
Permit Parking Removal,2020,No,11,105,Response Rate Not Met,2020-03-16,0.1048,1
Permit Parking Removal,2020,Yes,22,41,Opposed,2020-03-16,0.5366,0.3182
Front Yard Parking,2020,Yes,54,97,In Favour,2020-03-11,0.5567,0.8039
Permit Parking Removal,2020,Yes,229,539,In Favour,2020-12-16,0.4249,0.8049
Permit Parking Removal,2021,Yes,20,72,In Favour,2021-02-17,0.2778,0.9231
Permit Parking Removal,2021,Yes,8,31,In Favour,2021-02-23,0.2581,0.875
Permit Parking Removal,2021,No,52,458,Response Rate Not Met,2021-03-31,0.1135,0.6875
Permit Parking Removal,2021,Yes,92,216,In Favour,2021-03-01,0.4259,0.7471
Permit Parking Removal,2020,Yes,15,53,Opposed,2020-12-14,0.283,0.5714
Permit Parking Removal,2020,Yes,16,48,In Favour,2020-12-09,0.3333,0.6667
Permit Parking Removal,2020,Yes,84,192,Opposed,2020-12-09,0.4375,0.56
Permit Parking Removal,2020,Yes,47,105,Opposed,2020-12-23,0.4476,0.4762
Permit Parking Removal,2020,Yes,40,83,Opposed,2020-12-30,0.4819,0.5556
Permit Parking Removal,2021,Yes,23,70,In Favour,2021-02-18,0.3286,0.7273
Permit Parking Removal,2021,Yes,40,71,In Favour,2021-03-17,0.5634,0.8
Permit Parking Removal,2021,Yes,14,32,Opposed,2021-03-09,0.4375,0.3571
Permit Parking Removal,2021,Yes,17,26,Opposed,2021-03-16,0.6538,0.3529
Permit Parking Removal,2021,Yes,90,187,In Favour,2021-02-25,0.4813,0.6786
Permit Parking Removal,2021,No,9,53,Response Rate Not Met,2021-04-06,0.1698,0.8889
Permit Parking Removal,2021,Yes,24,61,In Favour,2021-02-25,0.3934,0.7143
Permit Parking Removal,2021,Yes,86,192,In Favour,2021-03-01,0.4479,0.7403
